"company name","description","tags","url","size","funding"
"AbCellera Biologics ","Biotech focused on antibody treatments","B2B, •, Artificial Intelligence, •, Biology, •, Science, •, MedTech, ","https://app.otta.com//companies/AbCellera-Biologics","201-500","£103.8"
"Abnormal Security ","Cloud-native platform for email security ","B2B, •, Cyber Security, •, Cloud Computing, ","https://app.otta.com//companies/Abnormal-Security","201-500","£232.8"
"Abstract ","Workflow platform for documenting design files","B2B, •, Productivity, •, Design, ","https://app.otta.com//companies/Abstract-1","21-100","£44.5"
"Abundance Investment ","Direct investing platform focusing on the green economy","Fintech, •, B2C, •, Investing, •, Financial Services, •, Social Impact, •, Environmental, ","https://app.otta.com//companies/Abundance-Investment","1-20","£4.9"
"Academy ","VC-backed startup launching graduates into high-impact careers in tech","Education, •, Recruitment, •, Training, •, Learning, ","https://app.otta.com//companies/Academy","21-100","£3.1"
"Accela ","SaaS solutions for government","B2B, •, Enterprise, •, SaaS, •, Community, ","https://app.otta.com//companies/Accela","501-1000","£127.6"
"Accrue ","Savings app with rewards","Fintech, •, B2C, •, Retail, •, Personal finance, •, Payments, •, SaaS, ","https://app.otta.com//companies/Accrue","21-100","£24.3"
"Ace & Tate ","Quality eyewear brand","B2C, •, Retail, •, Lifestyle, •, Personal health, •, Fashion, •, eCommerce, ","https://app.otta.com//companies/Ace-and-Tate","201-500","£12.3"
"Acin ","Intelligence data network for non-financial risk management","Fintech, •, B2C, •, Trading, •, Financial Services, ","https://app.otta.com//companies/Acin","21-100","£8"
"Acorns ","Saving and investing app","Fintech, •, B2C, •, Banking, •, Personal finance, •, Investing, •, Financial Services, ","https://app.otta.com//companies/Acorns","201-500","£411.3"
"Acquire ","A digital customer engagement platform","B2B, •, Communication, •, Customer service, ","https://app.otta.com//companies/Acquire","101-200","£9.7"
"ActionIQ ","Enterprise customer data platform","Big data, •, Marketing, •, Data Analysis, ","https://app.otta.com//companies/ActionIQ","101-200","£118.8"
"ActiveViam ","Precision data analytics platform","B2B, •, Big data, •, Analytics, •, SaaS, ","https://app.otta.com//companies/ActiveViam","",""
"AcuityAds ","Omnichannel digital advertising platform","B2B, •, Artificial Intelligence, •, Enterprise, •, Marketing, •, SaaS, •, Advertising, •, Automation, ","https://app.otta.com//companies/AcuityAds","201-500","£8.2"
"Ada ","Chatbot AI customer experience solution","B2B, •, Artificial Intelligence, •, Customer service, •, Machine Learning, •, SaaS, •, Automation, ","https://app.otta.com//companies/Ada","501-1000","£156.6"
"Ada Health ","Symptoms diagnosis and treatment advisory platform","Healthcare, •, B2B, •, Personal health, •, Artificial Intelligence, •, SaaS, ","https://app.otta.com//companies/Ada-Health","201-500","£151.3"
"Adarga ","Analyse vast volumes of data quickly and accurately","B2B, •, Artificial Intelligence, •, Security, •, Deep Tech, •, Analytics, •, Machine Learning, •, SaaS, ","https://app.otta.com//companies/Adarga","21-100","£12"
"Addionics ","Next generation of rechargeable batteries","B2B, •, Energy, •, Sustainability, •, Manufacturing, ","https://app.otta.com//companies/Addionics","21-100","£28.3"
"addmustard ","Creative, marketing & technology agency","B2B, •, Marketing, •, Digital Media, •, SaaS, •, Advertising, •, Web Design, ","https://app.otta.com//companies/addmustard","",""
"Addy ","Real estate investment platform","Fintech, •, B2C, •, Investing, •, Real Estate, •, Crowdfunding, ","https://app.otta.com//companies/Addy","",""
"Adludio ","The next generation of mobile advertising","B2B, •, Marketing, •, Analytics, •, Mobile, •, Advertising, ","https://app.otta.com//companies/Adludio","21-100","£14.3"
"Administrate ","Training management platform","B2B, •, Enterprise, •, Education, •, Training, •, Learning, •, SaaS, ","https://app.otta.com//companies/Administrate","101-200","£9.3"
"Admix ","Monetisation platform for gaming ads","B2B, •, Payments, •, Gaming, •, SaaS, •, Advertising, ","https://app.otta.com//companies/Admix","21-100","£29.3"
"Adsum Technologies ","Fintech platform financing U.K. tax receivables","Fintech, •, Financial Services, ","https://app.otta.com//companies/Adsum-Technologies","1-20","£4.1"
"AdTheorent ","AI and ML-driven data solutions for advertising and marketing","B2B, •, Market research, •, Machine Learning, •, SaaS, •, Data Analysis, ","https://app.otta.com//companies/AdTheorent","201-500","£263.1"
"Advaya ","Platform for transformative education","Lifestyle, •, Personal health, •, Sustainability, •, Learning, •, Mental health, •, Networking, •, Social Impact, •, Environmental, •, Wellbeing, •, Community, ","https://app.otta.com//companies/Advaya","",""
"Adyen ","Payments platform built to grow businesses","Fintech, •, B2B, •, Payments, •, Financial Services, •, Mobile, ","https://app.otta.com//companies/Adyen","1001+","£261.7"
"AEI ","Independent music community that nurtures emerging talent","B2C, •, Music, •, Consulting, •, Community, ","https://app.otta.com//companies/AEI","",""
"Aero ","Semi-private jet flights","B2C, •, Travel, •, Flights, ","https://app.otta.com//companies/Aero","101-200","£32.5"
"Aerospike ","Real-time big data platform for organizations","B2B, •, Artificial Intelligence, •, Big data, •, Machine Learning, •, SaaS, ","https://app.otta.com//companies/Aerospike","201-500","£50.9"
"Aeva ","Sensory perception technology for all devices ","B2B, •, Artificial Intelligence, •, Enterprise, •, Automation, ","https://app.otta.com//companies/Aeva","201-500","£500.9"
"AEye ","AI-powered LiDAR systems","B2B, •, Artificial Intelligence, •, Cars, •, Transport, •, Robotics, •, Electric Vehicles, •, SaaS, ","https://app.otta.com//companies/AEye","101-200","£421.8"
"Affirm "," Installment loans to consumers at the point of sale","Fintech, •, B2C, •, Personal finance, ","https://app.otta.com//companies/Affirm","1001+","£938"
"African Clean Energy ","Providing electrical and thermal energy to developing countries","Energy, •, Social Impact, •, Environmental, ","https://app.otta.com//companies/African-Clean-Energy","",""
"AgentSync ","Compliance as a Service solution for insurance providers","Fintech, •, B2B, •, Compliance, •, Insurance, •, SaaS, ","https://app.otta.com//companies/AgentSync","201-500","£91.1"
"Agnostiq ","Hybrid cloud solutions for quantum computing","B2B, •, Enterprise, •, Deep Tech, •, SaaS, •, Cloud Computing, ","https://app.otta.com//companies/Agnostiq","1-20","£2.4"
"Agorapulse ","Social Media Management platform for agencies, businesses and marketers","B2B, •, Marketing, •, Analytics, •, SaaS, •, Social Media, •, Data Integration, ","https://app.otta.com//companies/Agorapulse-1","101-200","£14.6"
"Aha! ","Product roadmap software for Product Managers","B2B, •, Marketing, •, SaaS, •, Product Management, ","https://app.otta.com//companies/Aha!","",""
"ahead ","Emotional intelligence training app","B2C, •, Mental health, •, Wellbeing, ","https://app.otta.com//companies/ahead","1-20","£7.4"
"Aidaly ","Providing compensation, coaching, and financial services to family caregivers","Fintech, •, B2C, •, Personal finance, •, Social Impact, •, Wellbeing, ","https://app.otta.com//companies/Aidaly-1","1-20","£9.1"
"Aidence ","AI-based clinical solutions for healthcare","Healthcare, •, B2B, •, Artificial Intelligence, •, Machine Learning, •, SaaS, •, MedTech, ","https://app.otta.com//companies/Aidence","21-100","£12.3"
"AI Foundation ","Customizable AI agents ","B2C, •, Artificial Intelligence, •, Machine Learning, ","https://app.otta.com//companies/AI-Foundation","21-100","£22.8"
"Aiimi ","Enterprise information management consultants","B2B, •, Artificial Intelligence, •, Data storage, •, Deep Tech, •, Data Integration, •, Data Analysis, ","https://app.otta.com//companies/Aiimi","",""
"Airbank ","Business banking platform","Fintech, •, Banking, •, Payments, ","https://app.otta.com//companies/Airbank","21-100","£18.6"
"Airbnb ","List, discover and book unique spaces around the world","B2C, •, Hospitality, •, Travel, •, Marketplace, •, Sharing Economy, ","https://app.otta.com//companies/Airbnb","1001+","£3110.7"
"Aircall ","Cloud-based call center and phone system","B2B, •, Productivity, •, SaaS, •, Mobile, •, Telecommunications, ","https://app.otta.com//companies/Aircall","501-1000","£184.9"
"Aire ","Consumer lending platform","Fintech, •, Credit Scoring, •, B2B, •, Financial Services, •, SaaS, ","https://app.otta.com//companies/Aire","21-100","£25.7"
"Airgrid ","Powering privacy first advertising on the open web","Artificial Intelligence, •, Privacy, •, Advertising, ","https://app.otta.com//companies/Airgrid","",""
"Airmap ","Airspace management software system","B2B, •, Transport, •, Navigation, •, Drones, •, Aerospace, ","https://app.otta.com//companies/Airmap","1-20","£61.8"
"Airtable ","Online platform for creating and sharing databases","B2B, •, SaaS, •, Data Integration, •, Data Sharing, ","https://app.otta.com//companies/Airtable","1001+","£1108.1"
"air up ","Scent-based taste drinking system","B2C, •, Retail, •, Sustainability, •, Food, •, Consumer Goods, •, eCommerce, ","https://app.otta.com//companies/air-up","201-500","£53.9"
"Aisera ","AI-driven workplace automation software","B2B, •, Artificial Intelligence, •, Enterprise, •, HR, •, Customer service, •, SaaS, •, Automation, ","https://app.otta.com//companies/Aisera","101-200","£105.4"
"Aitme ","Fully automated robotic kitchen","B2B, •, Food, •, Robotics, •, Automation, ","https://app.otta.com//companies/Aitme","21-100","£10.3"
"Akamai ","Content delivery network and cloud services provider","B2B, •, Cyber Security, •, Cloud Computing, ","https://app.otta.com//companies/Akamai","",""
"Aklamio ","Customer incentives platform","B2B, •, Marketing, •, Social, •, SaaS, ","https://app.otta.com//companies/Aklamio","",""
"Akur8 ","AI insurance pricing solution","B2B, •, Artificial Intelligence, •, Enterprise, •, Insurance, •, Machine Learning, •, SaaS, ","https://app.otta.com//companies/Akur8","21-100","£33.4"
"Alation ","Data analytics for organisations","B2B, •, Big data, •, Analytics, •, Business Intelligence, •, Machine Learning, ","https://app.otta.com//companies/Alation","501-1000","£157.3"
"Albert ","We're banking on you ⚡️","Fintech, •, B2C, •, Personal finance, ","https://app.otta.com//companies/Albert","101-200","£141.8"
"Alchera Technologies ","Real-time mobility data for dynamic cities","Artificial Intelligence, •, Deep Tech, •, Mobility, •, Data Integration, •, Data Analysis, •, Data Sharing, ","https://app.otta.com//companies/Alchera-Technologies","1-20","£0.7"
"Alert Innovation ","Transforming retail with robotics","Retail, •, B2B, •, Productivity, •, Robotics, •, SaaS, •, Automation, ","https://app.otta.com//companies/Alert-Innovation","",""
"algbra ","Digital ethical finance platform","Fintech, •, Banking, •, Personal finance, ","https://app.otta.com//companies/algbra","21-100","£3.8"
"Alida ","Customer experience management & insights","B2B, •, Enterprise, •, Internal tools, •, Customer service, •, Business Intelligence, •, SaaS, ","https://app.otta.com//companies/Alida","201-500","£49.5"
"Alira Health ","Patient-centric advisory firm","Healthcare, •, B2B, •, Market research, •, Data Analysis, ","https://app.otta.com//companies/Alira-Health","201-500","£61.5"
"Allbirds ","Environmentally friendly footwear","B2C, •, Retail, •, Lifestyle, •, Sustainability, •, Fashion, •, Consumer Goods, •, eCommerce, ","https://app.otta.com//companies/Allbirds","501-1000","£166.1"
"Allica Bank ","SME banking","Fintech, •, B2B, •, Banking, •, Financial Services, •, SaaS, •, Data Analysis, ","https://app.otta.com//companies/Allica-Bank","201-500","£161"
"Alloy ","Digital supply chain management","Fintech, •, B2B, •, Banking, •, Supply Chain, •, SaaS, ","https://app.otta.com//companies/Alloy-1","21-100","£12.6"
"AllStripes ","Healthcare technology company","Healthcare, •, B2C, •, Personal health, •, Biology, •, Data Analysis, ","https://app.otta.com//companies/AllStripes","101-200","£55.1"
"Alluxio ","Open-source virtual distributed file system","B2B, •, Data storage, •, Big data, •, Analytics, •, Business Intelligence, •, Machine Learning, ","https://app.otta.com//companies/Alluxio","21-100","£66.8"
"Almanac ","A power platform for asynchronous collaboration","B2C, •, B2B, •, Internal tools, •, Productivity, •, Office, •, Content, •, Analytics, •, SaaS, ","https://app.otta.com//companies/Almanac","21-100","£35.3"
"AlphaPoint ","White label platform for cryptocurrency exchanges","Fintech, •, B2B, •, Cryptocurrency, •, SaaS, •, Blockchain, ","https://app.otta.com//companies/AlphaPoint","21-100","£19.8"
"AlphaSights ","Connecting businesses with industry professionals","B2B, •, Artificial Intelligence, •, SaaS, •, Outsourcing, ","https://app.otta.com//companies/AlphaSights","",""
"Alpima ","Smart investing SaaS platform ","Fintech, •, B2B, •, SaaS, ","https://app.otta.com//companies/Alpima","",""
"Altana AI ","Supply chain visibility platform","B2B, •, Artificial Intelligence, •, Security, •, Enterprise, •, Logistics, •, Transport, •, Big data, •, Analytics, •, Supply Chain, •, Machine Learning, •, SaaS, •, Data Analysis, ","https://app.otta.com//companies/Altana-AI","21-100","£18.1"
"Altitude Ads ","Online marketing & advertising agency","B2B, •, Marketing, •, Digital Media, •, Advertising, ","https://app.otta.com//companies/Altitude-Ads","",""
"Altruist ","Digital investment platform for Financial Advisors","Fintech, •, B2B, •, Investing, ","https://app.otta.com//companies/Altruist","201-500","£55"
"alva ","Reputation intelligence, Analysis and Media Monitoring","B2B, •, Digital Media, •, Data Analysis, ","https://app.otta.com//companies/alva-2","21-100","£3.2"
"Alviere ","Ready-made financial products for brands","Fintech, •, B2B, •, Banking, •, Financial Services, •, SaaS, ","https://app.otta.com//companies/Alviere","101-200","£57.4"
"Alyve ","Personalised nutrition subscription service","B2C, •, Personal health, •, Nutrition, •, Wellbeing, •, eCommerce, ","https://app.otta.com//companies/Alyve","1-20","£0.2"
"Amberscript ","AI speech recognition","B2B, •, Artificial Intelligence, •, Digital Media, •, SaaS, •, Social Impact, •, Video, ","https://app.otta.com//companies/Amberscript","101-200","£7.5"
"Ambition ","Gamified sales management platform","B2B, •, Enterprise, •, Internal tools, •, Training, •, SaaS, •, Sales, ","https://app.otta.com//companies/Ambition","101-200","£19.2"
"Amelia Virtual Care ","Virtual reality tool for mental health professionals","Healthcare, •, B2B, •, Mental health, •, Virtual Reality, •, Wellbeing, •, MedTech, ","https://app.otta.com//companies/Amelia-Virtual-Care-1","21-100","£15.1"
"American Express ","Globally integrated payments company","Fintech, •, Banking, •, Credit cards, •, Financial Services, ","https://app.otta.com//companies/American-Express","",""
"A Million Ads ","Personalised advertising services","B2B, •, Marketing, •, Digital Media, •, Advertising, ","https://app.otta.com//companies/A-Million-Ads","21-100","£2.3"
"Ammonite ","High quality, affordable financial advice","B2C, •, Personal finance, •, Financial Services, ","https://app.otta.com//companies/Ammonite","1-20","£0.1"
"Amount ","Digital banking technology platform ","Fintech, •, B2B, •, Banking, •, Payments, •, Credit cards, •, Financial Services, •, SaaS, ","https://app.otta.com//companies/Amount","201-500","£195"
"Amper ","Machine monitoring for precision manufacturers","B2B, •, Enterprise, •, Energy, •, Manufacturing, •, Big data, •, Deep Tech, •, Internet of Things, •, SaaS, ","https://app.otta.com//companies/Amper","",""
"Ampersand Health ","Personalised digital therapies for inflammatory conditions","Healthcare, •, Wellbeing, ","https://app.otta.com//companies/Ampersand-Health","",""
"Amplify Trading ","Training for aspiring market traders","B2B, •, Trading, •, Training, •, Financial Services, ","https://app.otta.com//companies/Amplify-Trading","",""
"Ampush ","Growth marketing services","B2B, •, Enterprise, •, Marketing, •, Analytics, ","https://app.otta.com//companies/Ampush","21-100","£12.3"
"Anaconda ","An open-source data science platform","Artificial Intelligence, •, Enterprise, •, Market research, •, Machine Learning, ","https://app.otta.com//companies/Anaconda","101-200","£76.3"
"Anaplan ","Cloud-based modeling and planning for sales, operations, and finance","B2B, •, Enterprise, •, Internal tools, •, Productivity, •, Analytics, •, Business Intelligence, •, Data Analysis, ","https://app.otta.com//companies/Anaplan","1001+","£245.8"
"AndCo ","Workspace subscription service","Hospitality, •, Marketplace, •, Office, ","https://app.otta.com//companies/AndCo","1-20","£0.8"
"Andela ","Remote engineering talent network","B2B, •, Enterprise, •, Marketplace, •, Recruitment, •, Training, ","https://app.otta.com//companies/Andela","1001+","£312.3"
"Andie ","Luxury women's swimwear ","B2C, •, Retail, •, Fashion, •, Consumer Goods, ","https://app.otta.com//companies/Andie","21-100","£22.2"
"Angi ","On-demand marketplace for home services","B2C, •, Property, •, B2B, •, Marketplace, •, Internet of Things, •, Home improvement, •, Construction, •, Mobile, ","https://app.otta.com//companies/Angi","",""
"Anima ","Low-code UX design platform","B2C, •, Design, •, No-Code, ","https://app.otta.com//companies/Anima-1","21-100","£10.3"
"Ankr ","Web3 Infrastructure Platform.","B2B, •, Enterprise, •, Blockchain, ","https://app.otta.com//companies/Ankr","21-100","£2.6"
"Anodot ","Monitoring business data in real time","B2B, •, Artificial Intelligence, •, Enterprise, •, Analytics, •, Business Intelligence, ","https://app.otta.com//companies/Anodot","101-200","£51.3"
"Anomaly ","Precision payments for healthcare providers","Healthcare, •, B2B, •, Payments, •, SaaS, ","https://app.otta.com//companies/Anomaly","1-20","£13.9"
"Antidote ","Patient recruitment marketplace for clinical trials","Healthcare, •, B2C, •, B2B, •, Marketplace, •, Recruitment, •, Market research, ","https://app.otta.com//companies/Antidote","21-100","£42.7"
"Anvyl ","Data analytics platform for supply chains","B2B, •, Supply Chain, •, SaaS, •, Data Integration, •, Data Analysis, •, Automation, ","https://app.otta.com//companies/Anvyl","21-100","£22"
"Anyone ","Audio app giving five minutes of anyone's time","Marketplace, •, Social Media, •, Mobile, ","https://app.otta.com//companies/Anyone","21-100","£3.1"
"Anyscale ","Open-source frameworks for AI software development","B2B, •, Artificial Intelligence, •, Enterprise, •, SaaS, ","https://app.otta.com//companies/Anyscale","101-200","£131.7"
"Anyword ","AI-driven copywriting tool","B2B, •, Artificial Intelligence, •, Marketing, •, Content, ","https://app.otta.com//companies/Anyword","101-200","£24.8"
"Apeel Sciences ","Plant-based edible produce coating","B2B, •, Sustainability, •, Food, •, Social Impact, ","https://app.otta.com//companies/Apeel-Sciences-1","201-500","£524.6"
"Apexx Global ","Consolidates global payment providers into a single integration point","Fintech, •, B2B, •, Payments, •, Financial Services, •, API, ","https://app.otta.com//companies/Apexx-Global","21-100","£12.9"
"api.video ","Platform for online video developers","B2B, •, SaaS, •, API, •, Video, ","https://app.otta.com//companies/api-video","21-100","£4.8"
"Apollo ","Data graph platform for app development","B2B, •, Enterprise, •, SaaS, •, API, •, Data Integration, ","https://app.otta.com//companies/Apollo","201-500","£150.1"
"Apollo.io ","Sales intelligence and engagement platform","B2B, •, Lead generation, •, Analytics, •, Business Intelligence, •, SaaS, •, API, •, Automation, •, Sales, ","https://app.otta.com//companies/Apollo-io","201-500","£123.9"
"Appear Here ","Online marketplace for flexible retail space","Property, •, Retail, •, B2B, •, Marketplace, ","https://app.otta.com//companies/Appear-Here","21-100","£29.1"
"Appetize ","Cloud-based point of sale and management platform","B2B, •, Enterprise, •, SaaS, •, Mobile, •, Cloud Computing, •, Sales, ","https://app.otta.com//companies/Appetize","101-200","£41"
"Appinio ","Real-time market research","B2B, •, Analytics, •, Market research, •, Business Intelligence, •, Mobile, ","https://app.otta.com//companies/Appinio","101-200","£1.5"
"Applaud ","Digital HR platform","B2B, •, HR, •, SaaS, ","https://app.otta.com//companies/Applaud-1","",""
"Applecart ","Social graph platform for marketing","B2B, •, Marketing, •, Analytics, •, Social, •, SaaS, ","https://app.otta.com//companies/Applecart","21-100","£3.4"
"Applied Intuition ","Software infrastructure for autonomous vehicles ","B2B, •, Artificial Intelligence, •, Cars, •, Transport, •, Analytics, •, Automation, ","https://app.otta.com//companies/Applied-Intuition","1-20","£288"
"ApplyBoard ","Study abroad platform","B2C, •, Marketplace, •, Education, •, Training, •, Learning, ","https://app.otta.com//companies/ApplyBoard","1001+","£409.2"
"Appraisd ","Employee performance management system","B2B, •, HR, •, Communication, •, Business Intelligence, •, SaaS, ","https://app.otta.com//companies/Appraisd","",""
"AppSec Phoenix ","SaaS Cybersecurity Posture manager & vulnerability and risk aggregator","Artificial Intelligence, •, Security, •, Cyber Security, ","https://app.otta.com//companies/AppSec-Phoenix","1-20","£0.8"
"AppSumo ","Online marketplace for discounted software","B2C, •, B2B, •, Marketplace, •, Productivity, •, Analytics, •, SaaS, •, DevOps, •, Automation, •, Cloud Computing, •, eCommerce, ","https://app.otta.com//companies/AppSumo","",""
"Appyway ","Kerbside management, mobility & parking solutions","B2C, •, Travel, •, Cars, •, Transport, •, Compliance, •, SaaS, •, Mobile, •, Data Analysis, •, Social Impact, •, Community, •, Data Sharing, ","https://app.otta.com//companies/Appyway","",""
"Apricity ","At-home fertility clinic","Healthcare, •, B2C, •, Kids, •, Femtech, •, Wellbeing, ","https://app.otta.com//companies/Apricity","21-100","£5.2"
"Apryl ","Employee fertility benefits platform","B2B, •, Biology, •, SaaS, •, Wellbeing, ","https://app.otta.com//companies/Apryl","1-20","£3.7"
"Aptem ","End-to-end platform for apprenticeship and traineeship delivery","B2B, •, Training, •, SaaS, ","https://app.otta.com//companies/Aptem","",""
"Aptihealth ","Platform for behavioural health engagement","Healthcare, •, B2C, •, B2B, •, Internal tools, •, Mental health, •, SaaS, ","https://app.otta.com//companies/Aptihealth","",""
"Aptos ","Provider of enterprise software focused exclusively on retail","Retail, •, B2B, •, Enterprise, •, Productivity, •, Marketing, •, Customer service, •, SaaS, ","https://app.otta.com//companies/Aptos","",""
"Arabesque ","Delivering sustainable, transparent, financial solutions","Fintech, •, B2C, •, B2B, •, Artificial Intelligence, •, Sustainability, •, Big data, •, SaaS, ","https://app.otta.com//companies/Arabesque","201-500","£16.4"
"ArangoDB ","Multi-model database for graphs, documents, and key-values","B2B, •, Data storage, •, SaaS, ","https://app.otta.com//companies/ArangoDB","101-200","£38.2"
"Arbor Education ","We helps schools transform the way they work using data","B2B, •, Education, •, Productivity, •, Business Intelligence, •, SaaS, •, Data Analysis, ","https://app.otta.com//companies/Arbor-Education","101-200","£10.5"
"Arcade ","Performance management and employee engagement platform","B2B, •, Internal tools, •, Gaming, •, Sales, ","https://app.otta.com//companies/Arcade","21-100","£4.1"
"Archiact Interactive ","VR game development studio","B2B, •, Enterprise, •, Gaming, •, Virtual Reality, ","https://app.otta.com//companies/Archiact-Interactive","21-100","£2.7"
"Archlet ","Software for data-driven procurement & strategic sourcing","B2B, •, Enterprise, •, Internal tools, •, Analytics, •, Machine Learning, •, SaaS, ","https://app.otta.com//companies/Archlet","21-100","£10.5"
"Arctoris ","Tech-enabled biopharma company","Healthcare, •, B2B, •, Enterprise, •, Robotics, ","https://app.otta.com//companies/Arctoris","21-100","£8.1"
"Area 1 Security ","Cloud Email Security provider","B2B, •, Machine Learning, •, SaaS, •, Cyber Security, •, Automation, •, Cloud Computing, ","https://app.otta.com//companies/Area-1-Security","21-100","£67.7"
"AREX Markets ","Fintech specializing in SME financing","Fintech, •, B2B, •, Fundraising, •, Investing, •, SaaS, ","https://app.otta.com//companies/AREX-Markets","21-100","£10.2"
"Argus ","Automating compliance for firms","B2B, •, Compliance, •, SaaS, •, Automation, ","https://app.otta.com//companies/Argus-1","1-20","£0.1"
"Arival Bank ","Fintech bank for the abnormal","Fintech, •, B2B, •, Cryptocurrency, •, Enterprise, •, Banking, ","https://app.otta.com//companies/Arival-Bank","21-100","£7"
"Arkose Labs ","Fraud detection platform","B2B, •, Security, •, Fraud, ","https://app.otta.com//companies/Arkose-Labs","201-500","£81.6"
"Armory ","Open-source continuous deployment software","B2B, •, Enterprise, •, SaaS, •, DevOps, •, Cloud Computing, ","https://app.otta.com//companies/Armory","101-200","£67.3"
"Arqit ","Symmetric Encryption reborn for the cloud","B2B, •, Privacy, •, SaaS, •, Cyber Security, ","https://app.otta.com//companies/Arqit","21-100","£349.5"
"Arrival ","Zero-emission solutions for public transport in cities","B2C, •, Sustainability, •, Cars, ","https://app.otta.com//companies/Arrival","1001+","£722.1"
"Artemis ","Skincare for dogs","B2C, •, Retail, •, Pets, •, Beauty, •, Wellbeing, ","https://app.otta.com//companies/Artemis","",""
"Arthur AI ","Machine Learning monitoring platform for enterprise","B2B, •, Artificial Intelligence, •, Enterprise, •, Insurance, •, Analytics, •, Machine Learning, •, SaaS, ","https://app.otta.com//companies/Arthur-AI","21-100","£15.1"
"Artie ","Platform for next-generation social games ","B2C, •, Gaming, •, Social, •, SaaS, •, Mobile, ","https://app.otta.com//companies/Artie","1-20","£11.8"
"Artificial ","Helping labs achieve reliable results through automation","Enterprise, •, Automation, •, Biotechnology , ","https://app.otta.com//companies/Artificial","21-100","£17.7"
"Artist Growth ","The music industry's business collaboration platform","B2B, •, Music, •, SaaS, •, Community, ","https://app.otta.com//companies/Artist-Growth","",""
"Art Republic ","Online destination for art","Retail, •, Lifestyle, •, Marketplace, •, Art, •, eCommerce, ","https://app.otta.com//companies/Art-Republic","",""
"Artsy ","Bringing the art world online","B2C, •, Marketplace, •, Art, •, eCommerce, ","https://app.otta.com//companies/Artsy","201-500","£82.7"
"ASAPP ","AI for Customer Experience Performance","B2B, •, Artificial Intelligence, •, Customer service, •, SaaS, ","https://app.otta.com//companies/ASAPP","201-500","£311.3"
"Asite ","Cloud-based collaboration platform","Property, •, B2B, •, Enterprise, •, Productivity, •, Supply Chain, •, Construction, •, SaaS, ","https://app.otta.com//companies/Asite","",""
